drug_1,drug_2,interaction
ramucirumab,dacarbazine,1
ramucirumab,ramucirumab,0
dacarbazine,ramucirumab,0
apigenin,cyclophosphamide,1
apigenin,doxorubicin,1
cyclophosphamide,doxorubicin,0
romidepsin,pralatrexate,0
romidepsin,vedotin,0
pralatrexate,vedotin,0
docetaxel,platinum,1
docetaxel,fluorouracil,0
platinum,fluorouracil,0
Gemcitabine,cyclosporine,1
Gemcitabine,tacrolimus,1
cyclosporine,tacrolimus,0
Erythropoietin,trastuzumab,0
paclitaxel,ifosfamide,0
clarithromycin,rifabutin,0
clarithromycin,clofazimine,0
clarithromycin,streptomycin,0
clarithromycin,moxifloxacin,0
rifabutin,clofazimine,0
rifabutin,streptomycin,0
rifabutin,moxifloxacin,0
clofazimine,streptomycin,0
clofazimine,moxifloxacin,0
streptomycin,moxifloxacin,0
sorafenib,erlotinib,0
adalimumab,infliximab,0
bendamustine,chlorambucil,0
diclofenac,octreotide,1
Caspofungin,amphotericin,1
meglumine,allopurinol,0
meglumine,amphotericin,0
meglumine,meglumine,0
meglumine,allopurinol,0
meglumine,antimoniate,0
allopurinol,amphotericin,1
allopurinol,meglumine,0
allopurinol,allopurinol,0
allopurinol,antimoniate,1
amphotericin,meglumine,0
amphotericin,allopurinol,0
amphotericin,antimoniate,1
meglumine,allopurinol,1
meglumine,antimoniate,0
allopurinol,antimoniate,0
Haloperidol,carbamazepine,1
quinidine,verapamil,1
azithromycin,cefuroxime,0
epirubicin,cyclophosphamide,1
palbociclib,letrozole,1
estramustine,cyproterone,1
estramustine,bromocriptine,0
estramustine,estrogens,0
cyproterone,bromocriptine,0
cyproterone,estrogens,0
bromocriptine,estrogens,1
halothane,succinylcholine,1
Mitomycin,vinblastine,1
olmesartan,azelnidipine,1
methotrexate,cyclophosphamide,1
methotrexate,prednisone,1
methotrexate,5-fluorouracil,1
cyclophosphamide,prednisone,1
cyclophosphamide,5-fluorouracil,1
prednisone,5-fluorouracil,1
sorafenib,sorafenib,0
sorafenib,everolimus,0
sorafenib,everolimus,1
succinylcholine,pancuronium,0
amprolium,diclazuril,0
amprolium,clopidol,0
diclazuril,clopidol,0
lidocaine,dexamethasone,1
lidocaine,cystodistention,1
dexamethasone,cystodistention,1
omega-3,niacin,1
omega-3,colesevelam hydrochloride,1
omega-3,ezetimibe,1
omega-3,simvastatin,1
niacin,colesevelam hydrochloride,1
niacin,ezetimibe,1
niacin,simvastatin,1
colesevelam hydrochloride,ezetimibe,1
colesevelam hydrochloride,simvastatin,1
ezetimibe,simvastatin,1
irinotecan,folinic acid,1
irinotecan,fluorouracil,1
irinotecan,fluorouracil,1
irinotecan,bevacizumab,1
folinic acid,fluorouracil,1
folinic acid,fluorouracil,1
folinic acid,bevacizumab,1
fluorouracil,fluorouracil,1
fluorouracil,bevacizumab,1
fluorouracil,bevacizumab,1
vinorelbine,carboplatin,1
Dexamethasone,paclitaxel,1
palbociclib,ribociclib,0
palbociclib,abemaciclib,0
ribociclib,abemaciclib,0
Flunarizine,diltiazem,0
amphotericin,itraconazole,1
amphotericin,itraconazole,0
amphotericin,itraconazole,0
itraconazole,itraconazole,0
itraconazole,itraconazole,0
itraconazole,itraconazole,0
inotuzumab,ozogamicin,0
inotuzumab,rituximab,1
inotuzumab,HDT-aSCT,1
ozogamicin,rituximab,0
ozogamicin,HDT-aSCT,0
rituximab,HDT-aSCT,1
methylprednisolone,mycophenolate,1
methylprednisolone,immunoglobulin,1
mycophenolate,immunoglobulin,1
moclobemide,mianserin,0
epinephrine,clonidine,0
ATGAM,tacrolimus,1
ATGAM,steroids,0
ATGAM,cyclosporine,0
tacrolimus,steroids,0
tacrolimus,cyclosporine,0
steroids,cyclosporine,0
pertuzumab,trastuzumab,1
pertuzumab,docetaxel,1
trastuzumab,docetaxel,0
enoxaparin,heparin,0
ibuprofen,S-flurbiprofen,0
ibuprofen,salicylic acid,0
ibuprofen,phenylbutazone,0
ibuprofen,β-cyclodextrins,1
S-flurbiprofen,salicylic acid,0
S-flurbiprofen,phenylbutazone,0
S-flurbiprofen,β-cyclodextrins,1
salicylic acid,phenylbutazone,0
salicylic acid,β-cyclodextrins,0
phenylbutazone,β-cyclodextrins,1
ifosfamide,etoposide,1
Esomeprazole,omeprazole,0
vasopressin,oxytocin,0
alkylating agents,fludarabine,1
alkylating agents,cladribine,1
fludarabine,cladribine,0
trazodone,amitriptyline,0
trazodone,ethanol,1
trazodone,placebo,0
amitriptyline,ethanol,1
amitriptyline,placebo,0
ethanol,placebo,1
5-fluorouracil/leucovorin,irinotecan,1
5-fluorouracil/leucovorin,bevacizumab,1
irinotecan,bevacizumab,1
imatinib,irinotecan,1
imatinib,5‑Fu,1
irinotecan,5‑Fu,0
ifosfamide,cyclophosphamide,0
fluoropyrimidine,oxaliplatin,1
fluoropyrimidine,irinotecan,1
oxaliplatin,irinotecan,0
etoposide,vincristine,0
etoposide,etoposide,0
vincristine,etoposide,0
nivolumab,ipilimumab,1
nivolumab,cabozantinib,1
ipilimumab,cabozantinib,1
piperacillin,netilmicin,1
docetaxel,docetaxel,0
docetaxel,thalidomide,0
docetaxel,thalidomide,1
nicotine,bupropion,0
nicotine,varenicline,0
bupropion,varenicline,0
methotrexate,cyclosporin,0
trametinib,cobimetinib,0
ampicillin,tetracycline,0
ampicillin,streptomycin,0
ampicillin,chloramphenicol,0
tetracycline,streptomycin,0
tetracycline,chloramphenicol,0
streptomycin,chloramphenicol,0
bortezomib,pemetrexed,0
bortezomib,cisplatin,0
pemetrexed,cisplatin,1
thalidomide,cyclosporine,1
streptomycin,kanamycin,0
streptomycin,gentamicin,0
streptomycin,ampicillin,0
streptomycin,novobiocin,0
kanamycin,gentamicin,0
kanamycin,ampicillin,0
kanamycin,novobiocin,0
gentamicin,ampicillin,0
gentamicin,novobiocin,0
ampicillin,novobiocin,0
yohimbine,propranolol,0
yohimbine,fasudil,0
yohimbine,yohimbine,0
yohimbine,propranolol,0
yohimbine,fasudil,0
propranolol,fasudil,0
propranolol,yohimbine,0
propranolol,propranolol,0
propranolol,fasudil,0
fasudil,yohimbine,0
fasudil,propranolol,0
fasudil,fasudil,0
yohimbine,propranolol,0
yohimbine,fasudil,0
propranolol,fasudil,0
nicotine,clozapine,1
nicotine,saline,1
clozapine,saline,1
cetuximab,irinotecan,0
irinotecan,oxaliplatin,0
irinotecan,taxane,0
irinotecan,cisplatin,1
irinotecan,5-FU,1
oxaliplatin,taxane,0
oxaliplatin,cisplatin,1
oxaliplatin,5-FU,1
taxane,cisplatin,1
taxane,5-FU,1
cisplatin,5-FU,1
Gemcitabine,Epirubicin,0
enalapril,lovastatin,1
enalapril,puromycin,0
lovastatin,puromycin,0
fosfomycin,vancomycin,1
fosfomycin,teicoplanin,1
vancomycin,teicoplanin,0
mitomycin,tamoxifen,1
mitomycin,UFT,1
tamoxifen,UFT,1
cyclosporine,methotrexate,1
cyclosporine,mycophenolate,1
methotrexate,mycophenolate,0
Propranolol,propranolol,0
Propranolol,lacidipine,1
propranolol,lacidipine,0
vincristine,doxorubicin,1
vincristine,cyclophosphamide,1
vincristine,actinomycin,1
vincristine,cisplatin,1
doxorubicin,cyclophosphamide,1
doxorubicin,actinomycin,1
doxorubicin,cisplatin,1
cyclophosphamide,actinomycin,1
cyclophosphamide,cisplatin,1
actinomycin,cisplatin,1
nicotine,haloperidol,0
tacrolimus,ganciclovir,0
gemcitabine,gemcitabine,0
gemcitabine,bevacizumab,0
gemcitabine,cetuximab,0
gemcitabine,bevacizumab,1
gemcitabine,cetuximab,1
bevacizumab,cetuximab,0
Gemcitabine,leucovorin,0
Gemcitabine,oxaliplatin,0
Gemcitabine,irinotecan,0
leucovorin,oxaliplatin,0
leucovorin,irinotecan,0
oxaliplatin,irinotecan,0
ampicillin,chloramphenicol,0
ampicillin,ampicillin,0
ampicillin,penicillin,1
ampicillin,penicillin,0
chloramphenicol,ampicillin,1
chloramphenicol,penicillin,0
chloramphenicol,penicillin,1
ampicillin,penicillin,0
ampicillin,penicillin,0
penicillin,penicillin,0
nifedipine,hydralazine,0
Bendamustine,rituximab,1
gefitinib,topotecan,0
gefitinib,SN-38,0
gefitinib,mitoxantrone,0
gefitinib,topotecan,0
topotecan,SN-38,0
topotecan,mitoxantrone,0
topotecan,topotecan,0
SN-38,mitoxantrone,0
SN-38,topotecan,0
mitoxantrone,topotecan,0
vincristine,cyclophosphamide,1
vincristine,methotrexate,1
vincristine,5-fluorouracil,1
vincristine,adriamycin,1
vincristine,prednisolone,1
cyclophosphamide,methotrexate,1
cyclophosphamide,5-fluorouracil,1
cyclophosphamide,adriamycin,1
cyclophosphamide,prednisolone,1
methotrexate,5-fluorouracil,1
methotrexate,adriamycin,1
methotrexate,prednisolone,1
5-fluorouracil,adriamycin,1
5-fluorouracil,prednisolone,1
adriamycin,prednisolone,1
cetuximab,mitoxantrone,1
cetuximab,prednisone,1
cetuximab,docetaxel,0
mitoxantrone,prednisone,1
mitoxantrone,docetaxel,0
prednisone,docetaxel,0
imipramine,fluoxetine,1
endostatin,nedaplatin,1
endostatin,Endostatin,0
nedaplatin,Endostatin,0
erythropoietin,iron,1
erythropoietin,aprotinin,1
iron,aprotinin,1
heparin,cortisone,1
heparin,cortisone,0
cortisone,cortisone,0
theophylline,somatostatin,0
bevacizumab,capecitabine,1
bevacizumab,bevacizumab,0
bevacizumab,capecitabine,0
bevacizumab,oxaliplatin,0
bevacizumab,bevacizumab,0
capecitabine,bevacizumab,0
capecitabine,capecitabine,0
capecitabine,oxaliplatin,0
capecitabine,bevacizumab,0
bevacizumab,capecitabine,1
bevacizumab,oxaliplatin,1
bevacizumab,bevacizumab,0
capecitabine,oxaliplatin,1
capecitabine,bevacizumab,0
oxaliplatin,bevacizumab,0
pioglitazone,lanreotide,0
pioglitazone,S-trans-trans-farnesylthiosalicylic,0
lanreotide,S-trans-trans-farnesylthiosalicylic,0
Etoposide,prednisone,1
Rosuvastatin,ezetimibe,1
Rosuvastatin,simvastatin,0
Rosuvastatin,ezetimibe,0
Rosuvastatin,atorvastatin,0
Rosuvastatin,ezetimibe,0
ezetimibe,simvastatin,0
ezetimibe,ezetimibe,0
ezetimibe,atorvastatin,0
ezetimibe,ezetimibe,0
simvastatin,ezetimibe,1
simvastatin,atorvastatin,0
simvastatin,ezetimibe,0
ezetimibe,atorvastatin,0
ezetimibe,ezetimibe,0
atorvastatin,ezetimibe,1
Olmesartan,Amlodipine,1
Olmesartan,Hydrochlorothiazide,1
Olmesartan,olmesartan,0
Olmesartan,amlodipine,0
Olmesartan,hydrochlorothiazide,0
Amlodipine,Hydrochlorothiazide,1
Amlodipine,olmesartan,0
Amlodipine,amlodipine,0
Amlodipine,hydrochlorothiazide,0
Hydrochlorothiazide,olmesartan,0
Hydrochlorothiazide,amlodipine,0
Hydrochlorothiazide,hydrochlorothiazide,0
olmesartan,amlodipine,0
olmesartan,hydrochlorothiazide,0
amlodipine,hydrochlorothiazide,0
chlortetracycline,sulfamethazine,1
chlortetracycline,penicillin,1
sulfamethazine,penicillin,1
gentamicin,erythromycin,0
vasopressin,oxytocin,0
bismuth,clarithromycin,0
5-Fluorouracil,leucovorin,1
5-Fluorouracil,oxaliplatin,1
leucovorin,oxaliplatin,1
chloral hydrate,hydroxyzine,1
chloral hydrate,methadone,1
hydroxyzine,methadone,1
axitinib,sunitinib,0
axitinib,vandetanib,0
sunitinib,vandetanib,0
fenofibrate,atorvastatin,1
linezolid,daptomycin,0
chlorhexidine,benzalkonium,0
chlorhexidine,piperazine,0
benzalkonium,piperazine,0
anidulafungin,amphotericin,0
erythromycin,tylosin,0
Bevacizumab,erlotinib,1
paclitaxel,gemcitabine,1
warfarin,rivaroxaban,0
warfarin,rivaroxaban,0
rivaroxaban,rivaroxaban,0
capecitabine,tegafur,1
capecitabine,uracil,1
tegafur,uracil,1
clindamycin,ciprofloxacin,1
celecoxib,irinotecan,1
celecoxib,cisplatin,1
irinotecan,cisplatin,1
docetaxel,estramustine,1
docetaxel,estramustine,0
estramustine,estramustine,0
sunitinib,pazopanib,0
sunitinib,sorafenib,0
pazopanib,sorafenib,0
artesunate,amodiaquine,1
docetaxel,prednisone,1
cyclosporine,digoxin,0
tranexamic,norethisterone,0
bortezomib,rapamycin,1
valsartan,spironolactone,1
methotrexate,vinblastine,1
methotrexate,doxorubicin,1
methotrexate,cisplatin,1
vinblastine,doxorubicin,1
vinblastine,cisplatin,1
doxorubicin,cisplatin,1
ethinylestradiol,desogestrel,1
ethinylestradiol,ethinylestradiol,0
ethinylestradiol,gestodene,0
desogestrel,ethinylestradiol,0
desogestrel,gestodene,0
ethinylestradiol,gestodene,1
ethinyl,desogestrel,1
ethinyl,mefenamic,0
desogestrel,mefenamic,0
enzastaurin,bevacizumab,1
secukinumab,ustekinumab,0
secukinumab,adalimumab,0
secukinumab,etanercept,0
ustekinumab,adalimumab,0
ustekinumab,etanercept,0
adalimumab,etanercept,0
methotrexate,vinblastine,1
methotrexate,doxorubicin,1
methotrexate,cisplatin,1
vinblastine,doxorubicin,1
vinblastine,cisplatin,1
doxorubicin,cisplatin,1
oxaliplatin,capecitabine,1
risedronate,alendronate,0
oxaliplatin,capecitabine,1
everolimus,bicalutamide,1
Ropivacaine,bupivacaine,0
rotigotine,pramipexole,0
rotigotine,ropinirole,0
rotigotine,cabergoline,0
pramipexole,ropinirole,0
pramipexole,cabergoline,0
ropinirole,cabergoline,0
isoniazid,saquinavir,1
isoniazid,ritonavir,1
isoniazid,rifampicin,1
saquinavir,ritonavir,1
saquinavir,rifampicin,1
ritonavir,rifampicin,1
trastuzumab,docetaxel,1
trastuzumab,pertuzumab,0
trastuzumab,trastuzumab,0
trastuzumab,docetaxel,0
trastuzumab,pertuzumab,0
docetaxel,pertuzumab,0
docetaxel,trastuzumab,0
docetaxel,docetaxel,0
docetaxel,pertuzumab,0
pertuzumab,trastuzumab,1
pertuzumab,docetaxel,1
pertuzumab,pertuzumab,0
trastuzumab,docetaxel,1
trastuzumab,pertuzumab,0
docetaxel,pertuzumab,0
thiabendazole,aspirin,1
Azacitidine,enasidenib,1
lamotrigine,amitriptyline,1
bevacizumab,triamcinolone,1
Doxorubicin,ifosfamide,1
methylprednisolone,prednisolone,0
methylprednisolone,cyclosporine,0
prednisolone,cyclosporine,1
colistin,ciprofloxacin,1
flutamide,bicalutamide,0
decitabine,vorinostat,1
Epirubicin,cyclophosphamide,1
carvedilol,spironolactone,1
hydroxyzine,cetirizine,1
everolimus,vinorelbine,1
everolimus,vinorelbine,0
vinorelbine,vinorelbine,0
adalimumab,tocilizumab,0
adalimumab,rituximab,0
adalimumab,chloroquine,0
adalimumab,hydroxychloroquine,0
tocilizumab,rituximab,0
tocilizumab,chloroquine,0
tocilizumab,hydroxychloroquine,0
rituximab,chloroquine,0
rituximab,hydroxychloroquine,0
chloroquine,hydroxychloroquine,0
docetaxel,doxorubicin,1
fluorouracil,leucovorin,1
nivolumab,ipilimumab,1
infliximab,rituximab,1
Topiramate,metformin,1
oxaliplatin,fluorouracil,1
oxaliplatin,leucovorin,1
fluorouracil,leucovorin,1
Verapamil,quinine,1
dipyridamole,epirubicin,1
docetaxel,flavopiridol,1
Dipyridamole,dipyridamole,0
Dipyridamole,acetylsalicyclic acid,0
dipyridamole,acetylsalicyclic acid,1
Bevacizumab,trastuzumab,1
ampicillin,erythromycin,0
ampicillin,chloramphenicol,0
ampicillin,kanamycin,0
ampicillin,doxycycline,0
erythromycin,chloramphenicol,0
erythromycin,kanamycin,0
erythromycin,doxycycline,0
chloramphenicol,kanamycin,0
chloramphenicol,doxycycline,0
kanamycin,doxycycline,0
bupivacaine,pancuronium,0
bupivacaine,bupivacaine,0
bupivacaine,pancuronium,0
pancuronium,bupivacaine,0
pancuronium,pancuronium,0
bupivacaine,pancuronium,1
temazepam,fentanyl,1
temazepam,thiopentone,1
temazepam,vecuronium,1
fentanyl,thiopentone,1
fentanyl,vecuronium,1
thiopentone,vecuronium,1
bupivacaine,tramadol,0
bleomycin,mitomycin,1
dulanermin,FOLFOX6,1
dulanermin,bevacizumab,1
FOLFOX6,bevacizumab,1
formoterol,salmeterol,0
amlodipine,lisinopril,0
amlodipine,allopurinol,0
lisinopril,allopurinol,0
cyclophosphamide,methotrexate,1
cyclophosphamide,fluorouracil,1
methotrexate,fluorouracil,1
emedastine,loratadine,1
Erythromycin,clindamycin,0
Erythromycin,carbenicillin,0
clindamycin,carbenicillin,0
Mycophenolate,nivolumab,0
Mycophenolate,ipilimumab,0
nivolumab,ipilimumab,1
saquinavir,indinavir,0
nevirapine,zidovudine,1
cisplatin,bleomycin,1
cisplatin,etoposide,1
bleomycin,etoposide,1
prednisone,vincristine,1
prednisone,cytarabine,1
prednisone,L-asparaginase,1
prednisone,methotrexate,0
prednisone,dexamethasone,0
vincristine,cytarabine,1
vincristine,L-asparaginase,1
vincristine,methotrexate,0
vincristine,dexamethasone,0
cytarabine,L-asparaginase,1
cytarabine,methotrexate,0
cytarabine,dexamethasone,0
L-asparaginase,methotrexate,0
L-asparaginase,dexamethasone,0
methotrexate,dexamethasone,0
5-fluorouracil,oxaliplatin,1
5-fluorouracil,irinotecan,1
5-fluorouracil,leucovorin,1
oxaliplatin,irinotecan,1
oxaliplatin,leucovorin,1
irinotecan,leucovorin,1
aspirin,docetaxel,1
aspirin,vinorelbine,1
docetaxel,vinorelbine,1
paclitaxel,doxorubicin,1
rituximab,cytarabine,1
rituximab,etoposide,1
rituximab,ifosfamide,1
rituximab,carboplatin,1
rituximab,etoposide,1
cytarabine,etoposide,1
cytarabine,ifosfamide,1
cytarabine,carboplatin,1
cytarabine,etoposide,1
etoposide,ifosfamide,1
etoposide,carboplatin,1
etoposide,etoposide,1
ifosfamide,carboplatin,1
ifosfamide,etoposide,1
carboplatin,etoposide,1
simvastatin,rosuvastatin,0
verapamil,trandolapril,1
gemcitabine,methotrexate,0
gemcitabine,vinblastine,0
gemcitabine,doxorubicin,0
gemcitabine,cisplatin,1
methotrexate,vinblastine,1
methotrexate,doxorubicin,1
methotrexate,cisplatin,0
vinblastine,doxorubicin,1
vinblastine,cisplatin,0
doxorubicin,cisplatin,0
ceritinib,alectinib,0
doxorubicin,ifosfamide,1
doxorubicin,cisplatin,1
ifosfamide,cisplatin,1
irinotecan,leucovorin,1
irinotecan,5-fluorouracil,1
leucovorin,5-fluorouracil,1
fludarabine,cyclophosphamide,1
fludarabine,mitoxantrone,1
cyclophosphamide,mitoxantrone,1
vemurafenib,ipilimumab,1
Bevacizumab,paclitaxel,1
Bevacizumab,bevacizumab,0
Bevacizumab,capecitabine,0
paclitaxel,bevacizumab,0
paclitaxel,capecitabine,0
bevacizumab,capecitabine,1
fluorouracil,leucovorin,1
fluorouracil,oxaliplatin,1
leucovorin,oxaliplatin,1
carboplatin,paclitaxel,1
carboplatin,cetuximab,1
carboplatin,bevacizumab,1
paclitaxel,cetuximab,1
paclitaxel,bevacizumab,1
cetuximab,bevacizumab,1
mexiletine,propafenone,1
Cephalexin,cephalexin,0
Cephalexin,trimethoprim-sulfamethoxazole,1
cephalexin,trimethoprim-sulfamethoxazole,0
neratinib,capecitabine,1
neratinib,lapatinib,0
neratinib,capecitabine,0
capecitabine,lapatinib,0
capecitabine,capecitabine,0
lapatinib,capecitabine,1
aspirin,cilostazol,1
methotrexate,etanercept,1
prednisolone,salbutamol,1
prednisolone,prednisolone,0
prednisolone,salbutamol,0
salbutamol,prednisolone,0
salbutamol,salbutamol,0
prednisolone,salbutamol,0
melphalan,prednisone,1
melphalan,thalidomide,1
prednisone,thalidomide,1
ranibizumab,dexamethasone,1
Rabeprazole,omeprazole,0
fluorouracil,leucovorin,1
fluorouracil,oxaliplatin,1
fluorouracil,capecitabine,0
fluorouracil,oxaliplatin,0
leucovorin,oxaliplatin,1
leucovorin,capecitabine,0
leucovorin,oxaliplatin,0
oxaliplatin,capecitabine,0
oxaliplatin,oxaliplatin,0
capecitabine,oxaliplatin,1
celecoxib,erlotinib,1
celecoxib,celecoxib,0
celecoxib,erlotinib,0
erlotinib,celecoxib,0
erlotinib,erlotinib,0
celecoxib,erlotinib,0
aspirin,pentagastrin,0
metronidazole,clarithromycin,0
metronidazole,amoxicillin,0
clarithromycin,amoxicillin,0
levonorgestrel,ethinyl,1
ixabepilone,capecitabine,1
bevacizumab,paclitaxel,1
paclitaxel,carboplatin,1
Mitoxantrone,cyclophosphamide,1
glimepiride,liraglutide,0
glimepiride,glimepiride,0
liraglutide,glimepiride,1
cimetidine,DPPE,1
cimetidine,tamoxifen,0
cimetidine,N-diethyl-2-[4-(phenylmethyl)phenoxy]-ethanamine-HCl,1
DPPE,tamoxifen,0
DPPE,N-diethyl-2-[4-(phenylmethyl)phenoxy]-ethanamine-HCl,1
tamoxifen,N-diethyl-2-[4-(phenylmethyl)phenoxy]-ethanamine-HCl,0
capecitabine,oxaliplatin,1
vincristine,ifosfamide,1
vincristine,dactinomycin,1
vincristine,etoposide,1
ifosfamide,dactinomycin,1
ifosfamide,etoposide,1
dactinomycin,etoposide,0
amlodipine,atorvastatin,1
dabrafenib,trametinib,1
dabrafenib,anti-PD1,0
dabrafenib,ipilimumab,0
trametinib,anti-PD1,0
trametinib,ipilimumab,0
anti-PD1,ipilimumab,1
chlorambucil,procarbazine,1
chlorambucil,prednisone,1
procarbazine,prednisone,1
rituximab,alemtuzumab,0
rituximab,bendamustine,0
alemtuzumab,bendamustine,0
pirfenidone,nintedanib,0
aspirin,5-aminosalicylates,0
aspirin,cyclo-oxygenase-2,0
aspirin,COX-2,0
aspirin,ursodeoxycholic acid,0
5-aminosalicylates,cyclo-oxygenase-2,0
5-aminosalicylates,COX-2,0
5-aminosalicylates,ursodeoxycholic acid,0
cyclo-oxygenase-2,COX-2,0
cyclo-oxygenase-2,ursodeoxycholic acid,0
COX-2,ursodeoxycholic acid,0
bortezomib,rituximab,1
ifosfamide,carboplatin,1
ifosfamide,etoposide,1
carboplatin,etoposide,1
Tofacitinib,adalimumab,0
alendronate,parathyroid hormone,1
alendronate,raloxifene,1
parathyroid hormone,raloxifene,1
Atorvastatin,metformin,1
Bevacizumab,irinotecan,1
Bevacizumab,oxaliplatin,1
irinotecan,oxaliplatin,1
GLY,aclidinium,0
GLY,tiotropium,0
aclidinium,tiotropium,0
pembrolizumab,axitinib,1
pembrolizumab,sunitinib,0
axitinib,sunitinib,0
paclitaxel,nedaplatin,1
fluorouracil,leucovorin,1
fluorouracil,LV5FU2,0
fluorouracil,oxaliplatin,0
leucovorin,LV5FU2,0
leucovorin,oxaliplatin,0
LV5FU2,oxaliplatin,1
dofetilide,verapamil,1
capecitabine,docetaxel,1
epirubicin,cyclophosphamide,1
flecainide,streptomycin,1
pertuzumab,trastuzumab,1
panitumumab,cetuximab,0
panitumumab,bevacizumab,1
cetuximab,bevacizumab,1
adapalene,minocycline,1
cyclophosphamide,methotrexate,0
cyclophosphamide,5-FU,0
cyclophosphamide,prednisone,0
cyclophosphamide,doxorubicin,1
methotrexate,5-FU,0
methotrexate,prednisone,0
methotrexate,doxorubicin,0
5-FU,prednisone,0
5-FU,doxorubicin,0
prednisone,doxorubicin,0
peginterferon alfa-2b,vemurafenib,0
peginterferon alfa-2b,ipilimumab,0
vemurafenib,ipilimumab,0
bicalutamide,flutamide,0
Montelukast,Levocetirizine,1
cefoperazone,sulbactam,1
cyclophosphamide,carmustine,1
cyclophosphamide,thiotepa,1
carmustine,thiotepa,1
Melatonin,sulpiride,0
Trastuzumab,Pertuzumab,0
trastuzumab,vinorelbine,1
trastuzumab,vinorelbine,0
vinorelbine,vinorelbine,0
leuprorelin,goserelin,0
leuprorelin,cyproterone,0
goserelin,cyproterone,0
amantadine,mycophenolate,0
sunitinib,pazopanib,0
Streptomycin,gentamicin,0
Streptomycin,netilmicin,0
gentamicin,netilmicin,0
